question_id,question,gold_answer,document,role,variant,base_context_id,base_title
Q001,who sings does he love me with reba,Linda Davis,Q001_source_01.md,conflict,macnoise_full,11828866,Does He Love You
Q001,who sings does he love me with reba,Linda Davis,Q001_source_02.md,gold,clean_full,11828866,Does He Love You
Q001,who sings does he love me with reba,Linda Davis,Q001_source_03.md,conflict,synthetic_conflict_excerpt,11128910,Lady Antebellum
Q001,who sings does he love me with reba,Linda Davis,Q001_source_04.md,conflict,synthetic_conflict_excerpt,11828866,Does He Love You
Q001,who sings does he love me with reba,Linda Davis,Q001_source_05.md,noise,same_topic_answer_removed,7624371,Linda Davis
Q001,who sings does he love me with reba,Linda Davis,Q001_source_06.md,conflict,macnoise_full,8870096,Greatest Hits Volume Two (Reba McEntire album)
Q001,who sings does he love me with reba,Linda Davis,Q001_source_07.md,conflict,macnoise_full,11128910,Lady Antebellum
Q001,who sings does he love me with reba,Linda Davis,Q001_source_08.md,conflict,synthetic_conflict_excerpt,7624371,Linda Davis
Q001,who sings does he love me with reba,Linda Davis,Q001_source_09.md,conflict,synthetic_conflict_excerpt,8870096,Greatest Hits Volume Two (Reba McEntire album)
Q001,who sings does he love me with reba,Linda Davis,Q001_source_10.md,noise,same_topic_answer_removed,8870096,Greatest Hits Volume Two (Reba McEntire album)
Q001,who sings does he love me with reba,Linda Davis,Q001_source_11.md,noise,same_topic_answer_removed,7624379,Linda Davis
Q001,who sings does he love me with reba,Linda Davis,Q001_source_12.md,conflict,macnoise_full,7624371,Linda Davis
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_01.md,noise,same_topic_answer_removed,7546433,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_02.md,noise,same_topic_answer_removed,7546436,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_03.md,conflict,synthetic_conflict_excerpt,7546433,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_04.md,conflict,macnoise_full,7546436,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_05.md,conflict,macnoise_full,7546439,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_06.md,noise,same_topic_answer_removed,7546439,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_07.md,conflict,synthetic_conflict_excerpt,7546436,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_08.md,conflict,synthetic_conflict_excerpt,873441,Cyndi Lauper
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_09.md,conflict,macnoise_full,7546433,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_10.md,conflict,macnoise_full,873441,Cyndi Lauper
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_11.md,conflict,synthetic_conflict_excerpt,7546439,True Colors (Cyndi Lauper song)
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_12.md,gold,clean_full,7546433,True Colors (Cyndi Lauper song)
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_01.md,conflict,macnoise_full,4162431,Toy Story 3
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_02.md,conflict,synthetic_conflict_excerpt,4162431,Toy Story 3
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_03.md,conflict,synthetic_conflict_excerpt,5691887,Estelle Harris
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_04.md,conflict,synthetic_conflict_excerpt,5691885,Estelle Harris
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_05.md,conflict,synthetic_conflict_excerpt,12825603,Toy Story (franchise)
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_06.md,conflict,macnoise_full,12825603,Toy Story (franchise)
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_07.md,conflict,macnoise_full,5691885,Estelle Harris
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_08.md,noise,same_topic_answer_removed,4162431,Toy Story 3
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_09.md,gold,clean_full,5691885,Estelle Harris
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_10.md,noise,same_topic_answer_removed,5691886,Estelle Harris
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_11.md,noise,same_topic_answer_removed,5691885,Estelle Harris
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_12.md,conflict,macnoise_full,5691887,Estelle Harris
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_01.md,conflict,synthetic_conflict_excerpt,903066,Jennifer Saunders
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_02.md,gold,clean_full,2805274,Shrek 2
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_03.md,conflict,synthetic_conflict_excerpt,2805274,Shrek 2
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_04.md,noise,same_topic_answer_removed,903101,French and Saunders
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_05.md,conflict,macnoise_full,903081,Jennifer Saunders
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_06.md,noise,same_topic_answer_removed,903066,Jennifer Saunders
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_07.md,conflict,synthetic_conflict_excerpt,903081,Jennifer Saunders
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_08.md,conflict,synthetic_conflict_excerpt,2805299,Shrek 2
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_09.md,conflict,macnoise_full,2805299,Shrek 2
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_10.md,conflict,macnoise_full,2805274,Shrek 2
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_11.md,conflict,macnoise_full,903066,Jennifer Saunders
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_12.md,noise,same_topic_answer_removed,2805299,Shrek 2
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_01.md,noise,same_topic_answer_removed,13423894,How the Grinch Stole Christmas!
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_02.md,conflict,synthetic_conflict_excerpt,766816,Boris Karloff
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_03.md,conflict,macnoise_full,13423893,How the Grinch Stole Christmas!
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_04.md,conflict,macnoise_full,766816,Boris Karloff
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_05.md,noise,same_topic_answer_removed,5410566,Grinch
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_06.md,gold,clean_full,766816,Boris Karloff
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_07.md,noise,same_topic_answer_removed,13423893,How the Grinch Stole Christmas!
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_08.md,conflict,synthetic_conflict_excerpt,766792,Boris Karloff
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_09.md,conflict,macnoise_full,5410566,Grinch
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_10.md,conflict,macnoise_full,766792,Boris Karloff
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_11.md,conflict,synthetic_conflict_excerpt,5410566,Grinch
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_12.md,conflict,synthetic_conflict_excerpt,13423893,How the Grinch Stole Christmas!
Q006,in what year did japan attack pearl harbor,1941,Q006_source_01.md,noise,same_topic_answer_removed,703915,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_02.md,conflict,macnoise_full,20552458,Japan during World War II
Q006,in what year did japan attack pearl harbor,1941,Q006_source_03.md,conflict,macnoise_full,703914,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_04.md,noise,same_topic_answer_removed,20552458,Japan during World War II
Q006,in what year did japan attack pearl harbor,1941,Q006_source_05.md,gold,clean_full,703914,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_06.md,conflict,macnoise_full,703918,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_07.md,conflict,synthetic_conflict_excerpt,703918,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_08.md,conflict,macnoise_full,703974,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_09.md,conflict,synthetic_conflict_excerpt,703974,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_10.md,conflict,synthetic_conflict_excerpt,703914,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_11.md,noise,same_topic_answer_removed,703974,Attack on Pearl Harbor
Q006,in what year did japan attack pearl harbor,1941,Q006_source_12.md,conflict,synthetic_conflict_excerpt,20552458,Japan during World War II
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_01.md,gold,clean_full,9327299,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_02.md,conflict,synthetic_conflict_excerpt,9327302,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_03.md,conflict,macnoise_full,9327303,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_04.md,noise,same_topic_answer_removed,9327299,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_05.md,conflict,synthetic_conflict_excerpt,9327300,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_06.md,conflict,synthetic_conflict_excerpt,9327303,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_07.md,conflict,macnoise_full,9327299,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_08.md,conflict,synthetic_conflict_excerpt,9327299,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_09.md,conflict,macnoise_full,9327300,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_10.md,noise,same_topic_answer_removed,9327302,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_11.md,noise,same_topic_answer_removed,9327300,Where Have All the Flowers Gone?
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_12.md,conflict,macnoise_full,9327302,Where Have All the Flowers Gone?
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_01.md,conflict,macnoise_full,8879374,Ling Woo
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_02.md,noise,same_topic_answer_removed,3663703,Wicked Witch of the East
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_03.md,conflict,macnoise_full,3655711,Wicked Witch of the West
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_04.md,conflict,synthetic_conflict_excerpt,3604489,Nome King
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_05.md,conflict,synthetic_conflict_excerpt,3604522,Nome King
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_06.md,gold,clean_full,3655711,Wicked Witch of the West
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_07.md,conflict,macnoise_full,3604522,Nome King
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_08.md,noise,same_topic_answer_removed,3655711,Wicked Witch of the West
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_09.md,conflict,macnoise_full,3604489,Nome King
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_10.md,conflict,synthetic_conflict_excerpt,8879374,Ling Woo
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_11.md,conflict,synthetic_conflict_excerpt,3655711,Wicked Witch of the West
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_12.md,noise,same_topic_answer_removed,3604489,Nome King
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_01.md,noise,same_topic_answer_removed,17162134,Abbasid architecture
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_02.md,gold,clean_full,17162133,Abbasid architecture
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_03.md,noise,same_topic_answer_removed,607058,Abbasid Caliphate
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_04.md,conflict,macnoise_full,607058,Abbasid Caliphate
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_05.md,noise,same_topic_answer_removed,607097,Abbasid Caliphate
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_06.md,conflict,synthetic_conflict_excerpt,607058,Abbasid Caliphate
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_07.md,conflict,synthetic_conflict_excerpt,17162133,Abbasid architecture
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_08.md,conflict,synthetic_conflict_excerpt,607097,Abbasid Caliphate
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_09.md,conflict,macnoise_full,739031,History of Iran
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_10.md,conflict,macnoise_full,17162133,Abbasid architecture
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_11.md,conflict,synthetic_conflict_excerpt,739031,History of Iran
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_12.md,conflict,macnoise_full,607097,Abbasid Caliphate
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_01.md,conflict,synthetic_conflict_excerpt,13481319,Irish Sea
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_02.md,conflict,macnoise_full,4681380,St George's Channel
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_03.md,conflict,macnoise_full,4681383,St George's Channel
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_04.md,conflict,synthetic_conflict_excerpt,4681380,St George's Channel
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_05.md,conflict,synthetic_conflict_excerpt,1308068,Ireland
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_06.md,noise,same_topic_answer_removed,4681383,St George's Channel
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_07.md,gold,clean_full,4681380,St George's Channel
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_08.md,noise,same_topic_answer_removed,4681380,St George's Channel
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_09.md,noise,same_topic_answer_removed,1308068,Ireland
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_10.md,conflict,macnoise_full,13481319,Irish Sea
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_11.md,conflict,synthetic_conflict_excerpt,4681383,St George's Channel
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_12.md,conflict,macnoise_full,1308068,Ireland
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_01.md,conflict,synthetic_conflict_excerpt,2782684,Ranjit Singh
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_02.md,gold,clean_full,5860215,Sikh Empire
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_03.md,conflict,synthetic_conflict_excerpt,5860215,Sikh Empire
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_04.md,conflict,synthetic_conflict_excerpt,5860234,Sikh Empire
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_05.md,noise,same_topic_answer_removed,5860218,Sikh Empire
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_06.md,conflict,macnoise_full,5860215,Sikh Empire
