question_id,difficulty,question,gold_answer,gold_document,system_answer,cited_documents,answer_correct,gold_cited,gold_retrieved,notes
Q001,easy,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_09.md,,,,,,
Q001,hard,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_09.md,,,,,,
Q002,easy,who sang the original version of true colors,Cyndi Lauper,Q002_source_06.md,,,,,,
Q002,hard,who sang the original version of true colors,Cyndi Lauper,Q002_source_06.md,,,,,,
Q003,easy,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_05.md,,,,,,
Q003,hard,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_05.md,,,,,,
Q004,easy,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_06.md,,,,,,
Q004,hard,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_06.md,,,,,,
Q005,easy,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_03.md,,,,,,
Q005,hard,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_03.md,,,,,,
Q006,easy,in what year did japan attack pearl harbor,1941,Q006_source_08.md,,,,,,
Q006,hard,in what year did japan attack pearl harbor,1941,Q006_source_08.md,,,,,,
Q007,easy,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_08.md,,,,,,
Q007,hard,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_08.md,,,,,,
Q008,easy,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_07.md,,,,,,
Q008,hard,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_07.md,,,,,,
Q009,easy,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_10.md,,,,,,
Q009,hard,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_10.md,,,,,,
Q010,easy,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_04.md,,,,,,
Q010,hard,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_04.md,,,,,,
Q011,easy,what is the body of water between england and ireland,The Irish Sea,Q011_source_04.md,,,,,,
Q011,hard,what is the body of water between england and ireland,The Irish Sea,Q011_source_04.md,,,,,,
Q012,easy,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_03.md,,,,,,
Q012,hard,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_03.md,,,,,,
Q013,easy,who was leah married to in the bible,Jacob,Q013_source_09.md,,,,,,
Q013,hard,who was leah married to in the bible,Jacob,Q013_source_09.md,,,,,,
Q014,easy,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_08.md,,,,,,
Q014,hard,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_08.md,,,,,,
Q015,easy,which monarch separated england from the catholic church,Henry VIII,Q015_source_04.md,,,,,,
Q015,hard,which monarch separated england from the catholic church,Henry VIII,Q015_source_04.md,,,,,,
