question_id,question,gold_answer,document,role,answer_supported,origin
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_01.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_02.md,conflict,Mississippi River,GPT-5.6 Sol synthetic
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_03.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_04.md,conflict,Niagara River,GPT-5.6 Sol synthetic
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_05.md,conflict,Hudson River,GPT-5.6 Sol synthetic
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_06.md,conflict,Niagara River,GPT-5.6 Sol synthetic
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_07.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_08.md,conflict,Hudson River,GPT-5.6 Sol synthetic
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_09.md,gold,the Saint Lawrence River,Discern-and-Answer clean context
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_10.md,conflict,Hudson River,GPT-5.6 Sol synthetic
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_11.md,conflict,Erie Canal,GPT-5.6 Sol synthetic
Q001,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_12.md,conflict,Hudson River,GPT-5.6 Sol synthetic
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_01.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_02.md,conflict,Belinda Carlisle,GPT-5.6 Sol synthetic
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_03.md,conflict,Madonna,GPT-5.6 Sol synthetic
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_04.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_05.md,conflict,Madonna,GPT-5.6 Sol synthetic
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_06.md,gold,Cyndi Lauper,Discern-and-Answer clean context
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_07.md,conflict,Madonna,GPT-5.6 Sol synthetic
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_08.md,conflict,Madonna,GPT-5.6 Sol synthetic
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_09.md,conflict,Pat Benatar,GPT-5.6 Sol synthetic
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_10.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_11.md,conflict,Bonnie Tyler,GPT-5.6 Sol synthetic
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_12.md,conflict,Belinda Carlisle,GPT-5.6 Sol synthetic
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_01.md,conflict,Bonnie Hunt,GPT-5.6 Sol synthetic
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_02.md,conflict,Annie Potts,GPT-5.6 Sol synthetic
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_03.md,conflict,Laurie Metcalf,GPT-5.6 Sol synthetic
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_04.md,conflict,Annie Potts,GPT-5.6 Sol synthetic
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_05.md,gold,Estelle Harris,Discern-and-Answer clean context
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_06.md,conflict,Joan Cusack,GPT-5.6 Sol synthetic
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_07.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_08.md,conflict,Annie Potts,GPT-5.6 Sol synthetic
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_09.md,noise,,Discern-and-Answer context transformed by GPT-5.6 Sol packaging
