question_id,question,gold_answer,gold_document,num_documents,num_conflicts,num_noise
Q001,who sings does he love me with reba,Linda Davis,Q001_source_02.md,12,8,3
Q002,who sang the original version of true colors,Cyndi Lauper,Q002_source_12.md,12,8,3
Q003,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_09.md,12,8,3
Q004,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_02.md,12,8,3
Q005,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_06.md,12,8,3
Q006,in what year did japan attack pearl harbor,1941,Q006_source_05.md,12,8,3
Q007,who sings the song where have all the flowers gone,Pete Seeger,Q007_source_01.md,12,8,3
Q008,name of bad witch on wizard of oz,Wicked Witch of the West,Q008_source_06.md,12,8,3
Q009,1. what city was built as the new capital for the abbasids,Baghdad,Q009_source_02.md,12,8,3
Q010,what is the body of water between england and ireland,The Irish Sea,Q010_source_07.md,12,8,3
Q011,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q011_source_02.md,12,8,3
Q012,who was leah married to in the bible,Jacob,Q012_source_07.md,12,8,3
Q013,who played spock's dad on star trek,Mark Lenard,Q013_source_01.md,12,8,3
Q014,which monarch separated england from the catholic church,Henry VIII,Q014_source_12.md,12,8,3
Q015,who sang you gotta fight for your right to party,Beastie Boys,Q015_source_07.md,12,8,3
