question_id,source_dataset_index,question,gold_answer,gold_document,dominant_conflicting_answer,easy_docs,medium_docs,hard_docs
Q001,1,where do the great lakes meet the ocean,the Saint Lawrence River,Q001_source_09.md,Hudson River,6,9,12
Q002,18,who sang the original version of true colors,Cyndi Lauper,Q002_source_06.md,Madonna,6,9,12
Q003,32,who plays mrs. potato head in toy story,Estelle Harris,Q003_source_05.md,Annie Potts,6,9,12
Q004,34,who plays the fairy god mother in shrek 2,Jennifer Saunders,Q004_source_06.md,Julie Andrews,6,9,12
Q005,38,who narrated the original 1966 how the grinch stole christmas,Boris Karloff,Q005_source_03.md,Thurl Ravenscroft,6,9,12
Q006,51,in what year did japan attack pearl harbor,1941,Q006_source_08.md,1942,6,9,12
Q007,81,who discovered some islands in the bahamas in 1492,Christopher Columbus,Q007_source_08.md,Amerigo Vespucci,6,9,12
Q008,99,who plays davy jones in pirates of the caribbean,Bill Nighy,Q008_source_07.md,Geoffrey Rush,6,9,12
Q009,100,what is the name of the girl romeo loved before juliet,Rosaline,Q009_source_10.md,Bianca,6,9,12
Q010,112,1. what city was built as the new capital for the abbasids,Baghdad,Q010_source_04.md,Damascus,6,9,12
Q011,117,what is the body of water between england and ireland,The Irish Sea,Q011_source_04.md,English Channel,6,9,12
Q012,124,leader of sikh empire who became maharajah of punjab,Ranjit Singh,Q012_source_03.md,Duleep Singh,6,9,12
Q013,146,who was leah married to in the bible,Jacob,Q013_source_09.md,Esau,6,9,12
Q014,181,when was the 13th amendment ratified by the states,"December 6, 1865",Q014_source_08.md,"December 18, 1865",6,9,12
Q015,191,which monarch separated england from the catholic church,Henry VIII,Q015_source_04.md,Henry VII,6,9,12
